"","Metabolite","Estimate","SE","Pval","Method"
"92","S.VLDL.PL",0.0132443880260039,0.0301391857078996,0.660342165245176,"Maximum likelihood"
"93","S.VLDL.PL",0.0132443880260039,0.0301391857078996,0.660342165245176,"Maximum likelihood"
"94","S.VLDL.PL",0.0132443880260039,0.0301391857078996,0.660342165245176,"Maximum likelihood"
"15","DHA",-0.0162560629728087,0.0373687094866557,0.663549328881799,"Maximum likelihood"
"56","LA",0.0159399497545963,0.0371949116033506,0.668249361728265,"Maximum likelihood"
"9","bOHBut",-0.0119154567727325,0.0289533888614769,0.680677145702137,"Maximum likelihood"
"36","Ile",0.0113258576664791,0.0291339954272375,0.69746066096523,"Maximum likelihood"
"24","Glol",0.012165449983664,0.0323497639619612,0.706872342412674,"Maximum likelihood"
"38","L.HDL.CE",-0.0114045400389805,0.0314963807506115,0.717284407680835,"Maximum likelihood"
"79","MUFA",-0.0128356451704982,0.0369543650451547,0.728337610656895,"Maximum likelihood"
"4","Alb",-0.0109249062902498,0.0316619614289669,0.730058052075318,"Maximum likelihood"
"39","L.HDL.FC",-0.00991891781941611,0.0304529326126937,0.744641463365263,"Maximum likelihood"
"23","Gln",-0.00917713204646964,0.0287910124619017,0.749916179812932,"Maximum likelihood"
"118","XS.VLDL.PL",-0.00965863173830486,0.0312491477069209,0.757257138907855,"Maximum likelihood"
"37","L.HDL.C",-0.00925721292036005,0.0304434797138329,0.761067954287469,"Maximum likelihood"
"28","HDL.D",0.00938303050737215,0.0312678548592003,0.764111923334131,"Maximum likelihood"
"111","XL.HDL.TG",0.00881242195507997,0.0304112824886614,0.77198856164699,"Maximum likelihood"
"59","LDL.D",-0.00900810625288633,0.0312051038586694,0.772830760421713,"Maximum likelihood"
"27","HDL.C",-0.0083214398647385,0.030236722166939,0.783155119131906,"Maximum likelihood"
"3","Ala",-0.00780039170555044,0.028387171920831,0.783480809359103,"Maximum likelihood"
"45","L.LDL.FC",0.00790561976119362,0.0302732051646025,0.793982636471827,"Maximum likelihood"
"119","XS.VLDL.TG",0.00806959340542776,0.0312819380792116,0.796435195952032,"Maximum likelihood"
"112","XL.VLDL.L",0.00767696244511534,0.0318223870209696,0.809365949520741,"Maximum likelihood"
"106","XL.HDL.CE",0.00746279788936183,0.0313786413752058,0.812012563644806,"Maximum likelihood"
"101","Tyr",0.0065701497453369,0.0286577708208384,0.81866496403793,"Maximum likelihood"
"48","L.LDL.PL",0.00600661308489093,0.0302748205884677,0.842729825851948,"Maximum likelihood"
"109","XL.HDL.PL",-0.00620329953162707,0.0314746250369343,0.843757961997061,"Maximum likelihood"
"110","XL.HDL.PL",-0.00620329953162707,0.0314746250369343,0.843757961997061,"Maximum likelihood"
"96","Serum.TG",0.00589429572487548,0.0301935288714883,0.845222925844566,"Maximum likelihood"
"97","Serum.TG",0.00589429572487548,0.0301935288714883,0.845222925844566,"Maximum likelihood"
"88","S.LDL.L",0.00547910062938228,0.031177445586807,0.860498805044227,"Maximum likelihood"
"68","M.LDL.CE",0.00528760736768563,0.031182561940473,0.865348813236711,"Maximum likelihood"
"69","M.LDL.L",0.0052092798437239,0.0311936673433177,0.867371628026535,"Maximum likelihood"
"70","M.LDL.P",0.00477022838879971,0.0312019857168253,0.878491168979189,"Maximum likelihood"
"21","FreeC",0.00516808699988623,0.0373402915608565,0.889920262097824,"Maximum likelihood"
"58","LDL.C",0.00379654503866342,0.0302702837619522,0.900189851132956,"Maximum likelihood"
"31","IDL.FC",-0.00376225221353088,0.0301509228291636,0.900697194507516,"Maximum likelihood"
"43","L.LDL.C",0.00371536045877562,0.0302070981753346,0.902110050189584,"Maximum likelihood"
"89","S.LDL.P",0.00370070290764111,0.0312027609288073,0.905590857088743,"Maximum likelihood"
"12","Cit",0.00340766308869972,0.0298766783494893,0.909192110288599,"Maximum likelihood"
"16","UNK.Free.cholesterol.to.esterified.cholesterol.ratio",-0.00423002276037927,0.0371037806380288,0.909233696358795,"Maximum likelihood"
"30","IDL.C",-0.00351611741809251,0.0311732418443629,0.910194821968348,"Maximum likelihood"
"2","Ace",0.00301966470531397,0.0287623848911185,0.916386449669485,"Maximum likelihood"
"87","S.LDL.C",-0.00315418097494895,0.0301695214769196,0.916734009129498,"Maximum likelihood"
"32","IDL.L",-0.00309911962259584,0.0312227109971196,0.920933023698598,"Maximum likelihood"
"122","XXL.VLDL.PL",0.00313126803573951,0.0315818792241418,0.921021066159283,"Maximum likelihood"
"71","M.LDL.PL",0.00288999202642553,0.030220208880562,0.923813558671226,"Maximum likelihood"
"81","PC",-0.00306556069832794,0.0369854464620936,0.933942508967601,"Maximum likelihood"
